"Statistics","Statystyki"
"Stock Qty","Ilość w magazynie"
"Submitted In","Wysłany w"
"Submitted On","Przesłane"
"Subtotal","Suma częściowa"
"Tag","Tag"
"Tag ""%s"" details","Szczegóły tagu ""%s"""
"Tag Detail","Szczegóły tagu"
"Tag Name","Nazwa tagu"
"Tag Use","Użycie tagu"
"Tags Submitted by %s","Tagi zgłoszone przez %s"
"Tags submitted to %s","Tagi zgłoszone przez %s"
"Tax","Podatek"
"Title","Tytuł"
"To","Do"
"Total","Razem"
"Total Invoiced vs. Paid Report","Raport łącznie zafakturowanych kontra opłacone"
"Total Ordered Report","Raport łącznie zamówionych"
"Total Refunded Report","Raport łącznie zrefundowanych"
"Total Shipped Report","Raport łącznie dostarczonych"
"Total Tags","Tagów w sumie"
"Total invoiced","Łącznie zafakturowano"
"Total refunded","Łącznie refundowano"
"Updated At","Zaktualizowano"
"Viewed Products Grid Template","Szablon siatki oglądanych produktów"
"Viewed Products List Template","Szablon listy oglądanych produktów"
"Visible In","Widoczny w"
"Wishlist Report","Raport schowka"
"Wishlist vs. Regular Order","Schowek względem zwykłego zamówienia"
"Wishlists","Schowki"
"Year","Rok"
"Year-To-Date Starts","Rok-do-daty zaczyna się"
"Yes","Tak"
"Your Recently Compared","Twoje ostatnio porównywane"
"Your Recently Viewed","Twoje ostatnio oglądane"
"undefined","niezdefiniowany"
