"Access denied.","Dostęp zabroniony."
"Client Session Timeout (sec.)","Timeout sesji klienta (sek.)"
"Default Response Charset","Domyślny zestaw znaków odpowiedzi"
"Email","E-mail"
"General Settings","Ustawienia ogólne"
"Invalid webservice adapter specified.","Podany adapter usługi sieciowej jest nieprawidłowy."
"Invalid webservice handler specified.","Podany uchwyt usługi sieciowej jest nieprawidłowy."
"Magento Core API","Core API Magento"
"Magento Core API Section","Sekcja core API Magento"
"Roles","Role"
"Unable to login.","Nie można się zalogować."
"User Name","Nazwa użytkownika"
"Users","Użytkownicy"
"WS-I Compliance","Zgodność WS-I"
"Web Services","Usługi sieciowe"
"Your account has been deactivated.","Twoje konto zostało wyłączone."
